Date,Open,High,Low,Close,Adj Close,Volume
2017-10-05,104.839996,105.199997,102.760002,102.919998,100.158440,1748300
2017-10-06,103.879997,103.919998,102.480003,102.519997,99.769180,1613100
2017-10-09,102.040001,103.199997,101.720001,102.800003,100.041672,942100
2017-10-10,101.760002,104.000000,101.480003,102.599998,99.847038,1073100
2017-10-11,102.720001,103.160004,101.639999,101.680000,98.951714,891700
2017-10-12,102.120003,102.599998,101.080002,102.320000,99.574539,957700
2017-10-13,101.000000,101.440002,100.720001,101.160004,98.445663,933900
2017-10-16,100.360001,101.040001,100.000000,100.120003,97.433586,875300
2017-10-17,100.239998,100.639999,99.680000,99.800003,97.122162,840200
2017-10-18,99.360001,100.519997,99.360001,100.080002,97.394653,1022900
2017-10-19,101.760002,103.320000,101.160004,101.239998,98.523514,1296500
2017-10-20,99.959999,100.760002,99.680000,100.440002,97.744995,871000
2017-10-23,99.800003,102.800003,99.760002,102.400002,99.652397,1580600
2017-10-24,101.839996,103.000000,101.199997,101.839996,99.107422,1162600
2017-10-25,102.480003,105.279999,101.480003,103.080002,100.314156,2032200
2017-10-26,103.160004,104.120003,102.480003,104.000000,101.209465,1293300
2017-10-27,99.000000,99.279999,94.400002,95.000000,92.450958,3479000
2017-10-30,95.320000,95.480003,93.199997,94.320000,91.789200,2188300
2017-10-31,93.480003,94.239998,92.879997,93.320000,90.816032,1264900
2017-11-01,92.160004,94.440002,92.000000,93.440002,90.932816,1502600
2017-11-02,93.720001,95.839996,93.599998,93.959999,91.438858,1433800
2017-11-03,92.800003,93.879997,91.199997,91.279999,88.830772,1481100
2017-11-06,91.440002,91.559998,90.239998,90.360001,87.935455,973100
2017-11-07,90.559998,91.120003,89.839996,90.239998,87.818672,1483000
2017-11-08,90.279999,90.680000,89.040001,89.080002,86.689812,1118000
2017-11-09,91.279999,93.239998,90.360001,90.559998,88.130089,2867000
2017-11-10,91.160004,91.639999,90.320000,90.519997,88.091164,1115000
2017-11-13,91.519997,91.559998,89.839996,90.199997,87.779739,1031800
2017-11-14,91.199997,92.480003,90.879997,91.160004,88.713989,1644800
2017-11-15,92.400002,93.919998,91.760002,92.559998,90.076424,1791900
2017-11-16,91.040001,91.080002,88.320000,88.959999,86.573029,1925400
2017-11-17,88.919998,90.239998,88.720001,90.040001,87.624046,1286600
2017-11-20,89.800003,90.599998,89.559998,90.239998,87.818672,647700
2017-11-21,88.959999,89.040001,87.199997,87.320000,84.977013,1365200
2017-11-22,87.080002,87.559998,86.760002,87.000000,84.665611,659000
2017-11-24,86.720001,86.879997,86.000000,86.040001,83.731369,466500
2017-11-27,86.199997,86.760002,85.559998,86.160004,83.848152,895900
2017-11-28,85.599998,87.000000,85.400002,85.519997,83.225319,1634700
2017-11-29,85.800003,91.160004,85.800003,89.959999,87.546181,3398800
2017-11-30,88.879997,89.480003,87.279999,87.800003,85.444145,2203900
2017-12-01,89.400002,92.680000,87.639999,88.879997,86.495171,3349800
2017-12-04,87.199997,92.199997,86.919998,92.000000,89.531448,2557500
2017-12-05,92.120003,93.040001,88.639999,91.800003,89.336830,2350600
2017-12-06,92.839996,93.160004,90.160004,90.639999,88.207947,1760100
2017-12-07,90.599998,90.879997,88.919998,89.680000,87.273705,1600900
2017-12-08,87.680000,88.919998,87.040001,88.559998,86.183754,1258700
2017-12-11,88.440002,88.440002,86.360001,86.440002,84.120644,1207900
2017-12-12,86.599998,87.360001,86.040001,86.839996,84.509895,1130800
2017-12-13,85.800003,86.720001,85.480003,86.360001,84.042778,1154100
2017-12-14,85.919998,86.800003,85.279999,86.559998,84.237419,1131300
2017-12-15,85.519997,85.959999,83.279999,83.680000,81.434692,1694100
2017-12-18,82.040001,82.400002,81.279999,81.519997,79.332649,1328900
2017-12-19,81.959999,83.599998,81.720001,82.879997,80.656158,1658900
2017-12-20,82.080002,84.199997,82.040001,83.239998,81.006500,1281600
2017-12-21,82.919998,83.519997,82.160004,83.279999,81.045433,949900
2017-12-22,83.599998,84.199997,83.440002,83.559998,81.317917,1011900
2017-12-26,84.760002,85.680000,84.480003,84.760002,82.604355,720500
2017-12-27,84.800003,85.040001,84.080002,84.760002,82.604355,661900
2017-12-28,84.000000,84.800003,83.959999,84.559998,82.409424,542200
2017-12-29,84.279999,86.199997,84.279999,86.040001,83.851791,1164500
2018-01-02,84.839996,85.440002,81.519997,81.639999,79.563698,1697800
2018-01-03,81.360001,81.360001,79.040001,79.239998,77.224739,1628700
2018-01-04,78.360001,79.120003,78.080002,78.839996,76.834915,1130100
2018-01-05,77.720001,78.160004,76.279999,76.480003,74.534935,1700000
2018-01-08,76.440002,76.519997,75.440002,75.599998,73.677307,856100
2018-01-09,75.120003,76.239998,74.879997,75.559998,73.638329,1398200
2018-01-10,76.599998,77.559998,76.040001,76.120003,74.184090,1633600
2018-01-11,75.680000,76.040001,74.559998,74.559998,72.663757,1227300
2018-01-12,74.800003,75.000000,72.680000,73.000000,71.143425,1356300
2018-01-16,71.480003,74.199997,70.360001,73.559998,71.689194,2716400
2018-01-17,72.639999,73.599998,70.839996,71.239998,69.428185,2047700
2018-01-18,71.519997,72.040001,70.680000,71.160004,69.350227,1734700
2018-01-19,70.559998,71.559998,70.199997,70.519997,68.726494,1413000
2018-01-22,70.559998,70.800003,68.279999,68.279999,66.543472,1450000
2018-01-23,67.639999,67.720001,66.400002,66.599998,64.906189,1525600
2018-01-24,66.239998,69.000000,65.720001,67.879997,66.153633,3116600
2018-01-25,66.519997,68.639999,66.440002,68.000000,66.270584,2225700
2018-01-26,66.839996,67.279999,64.959999,65.000000,63.346882,2052900
2018-01-29,65.320000,66.239998,64.879997,65.879997,64.204506,2083600
2018-01-30,67.680000,68.480003,66.599998,67.400002,65.685860,2869400
2018-01-31,66.360001,67.919998,65.919998,66.720001,65.023148,2338200
2018-02-01,68.160004,69.000000,66.279999,68.360001,66.621437,2253100
2018-02-02,69.160004,72.559998,68.720001,72.400002,70.558693,4163600
2018-02-05,74.440002,81.120003,70.919998,80.800003,78.745056,7276300
2018-02-06,84.440002,85.559998,74.279999,74.559998,72.663757,7315600
2018-02-07,75.279999,77.480003,72.919998,77.360001,75.392548,3835100
2018-02-08,76.720001,87.279999,76.639999,87.080002,84.865341,6779500
2018-02-09,83.599998,93.040001,80.919998,82.919998,80.811142,8833600
2018-02-12,80.400002,82.279999,76.760002,78.320000,76.328117,6175100
2018-02-13,79.800003,80.120003,76.760002,77.320000,75.353569,2595300
2018-02-14,78.559998,78.720001,72.559998,72.760002,70.909531,4211700
2018-02-15,71.000000,73.279999,69.000000,69.080002,67.323128,3833200
2018-02-16,69.599998,70.199997,67.599998,69.680000,67.907867,4210800
2018-02-20,70.599998,70.680000,67.680000,69.519997,67.751930,3562200
2018-02-21,68.519997,70.080002,66.400002,70.080002,68.297691,3837600
2018-02-22,69.080002,70.599998,68.040001,69.959999,68.180756,4247800
2018-02-23,68.440002,69.279999,65.839996,65.839996,64.165527,3650400
2018-02-26,64.879997,65.040001,63.240002,63.279999,61.670639,2951400
2018-02-27,63.200001,65.599998,62.840000,65.599998,63.931625,4514900
2018-02-28,64.440002,66.879997,63.759998,66.839996,65.140091,4086600
2018-03-01,66.680000,71.879997,65.800003,70.040001,68.258713,7322400
2018-03-02,72.519997,73.360001,67.839996,68.199997,66.465508,5432700
2018-03-05,69.160004,69.919998,65.400002,66.040001,64.360451,3673100
2018-03-06,65.080002,66.400002,64.440002,65.160004,63.502827,3682300
2018-03-07,66.599998,66.959999,64.480003,64.680000,63.035038,3814000
2018-03-08,63.959999,64.680000,63.480000,63.680000,62.060459,2688200
2018-03-09,62.320000,62.599998,60.040001,60.080002,58.552021,2965600
2018-03-12,59.439999,59.840000,58.560001,59.200001,57.694397,3009900
2018-03-13,59.439999,61.880001,58.560001,61.360001,59.799465,5251700
2018-03-14,60.439999,62.240002,60.320000,61.480000,59.916412,4196800
2018-03-15,61.279999,62.320000,60.560001,61.720001,60.150307,2990200
2018-03-16,61.400002,62.279999,60.919998,62.160000,60.579121,2307800
